,spp,Subfamily,Tribe,long_aquenio,anch_aquenio,area_aquenio,pappus_type,nr_cerdas,long_cerda_max,dispersion,area,vol,PL,log_PL,loglog_PL,sqrt_PL
Verbesina-alternifolia,Verbesina_alternifolia,Asteroideae,Heliantheae,4.898,2.848,9.627,Aristate,2,1.125,ambiguo,3.97607820219958,15.6012227063932,3.92377149558714,1.36705330748642,1.99040591656003,1.98085120480745
Chrysogonum-australe,Chrysogonum_australe,Asteroideae,Heliantheae,5.865,2.95,10.866,Coroniform,1,0.749,ambiguo,1.76243662025653,20.0434249435037,11.3725643100459,2.43120381531927,5.29012736375267,3.37232328077334
Rojasianthe-superba,Rojasianthe_superba,Asteroideae,Heliantheae,6,2.957,12.571,Aristate,10,2.55,ambiguo,20.4282062299676,20.6022088368738,1.00851775746219,0.008481686053037,1.00281137570309,1.00424984812654
Calea-candolleana,Calea_candollena,Asteroideae,Heliantheae,2.782,0.878,2.055,Paleaceous,13,0.883,viento,2.44946523448477,0.842182171009338,0.343822857646804,-1.06762870294151,-0.191723103949464,0.586364099895964
Schkuhria-pinnata,Schkuhria_pinnata,Asteroideae,Bahieae,3.35,0.869,1.732,Paleaceous,8,1.833,ambiguo,10.5554025992772,0.993445954636212,0.094117295468438,-2.36321345046531,-0.00279025369735,0.306785422516191
Chaenactis-douglasii,Chaenactis_douglasii,Asteroideae,Chaenactidae,5.872,0.661,3.245,Paleaceous,12,4.357,viento,59.6382639181965,1.00750880798854,0.016893664236792,-4.08081662457591,0.001829797718284,0.129975629395636
Eriophyllum-lanatum,Eriophyllum_lanatum,Asteroideae,Madieae,2.875,0.581,1.393,Coroniform,9,0.785,ambiguo,1.93592793295837,0.381109697312246,0.196861500440105,-1.62525484094633,-1.46031983046558,0.443690771191046
Deinandra-minthornii,Deinandra_minthornii,Asteroideae,Madieae,2.124,0.675,1.038,Paleaceous,10,1.529,ambiguo,7.34454411086101,0.380033554566236,0.051743654017937,-2.96145348202876,-0.48521375492546,0.227472314838394
Eutrochium_fistulosum,Eutrochium_fistulosum,Asteroideae,Eupatorieae,3.203,0.636,1.563,Setose,32,5.934,viento,110.622878925188,0.508781200425835,0.004599240273886,-5.38186414697808,-0.14358669591111,0.067817698824759
Stevia-sp,Stevia_sp,Asteroideae,Eupatorieae,3.55,0.607,1.714,Paleaceous,4,1.167,ambiguo,4.27850047740475,0.513648023032487,0.12005327888586,-2.1198196440193,-0.458321291481416,0.346487054427522
Amauria-rotundifolia,Amauria_rotundifolia,Asteroideae,Perityleae,2.43,0.448,0.939,Epappose,0,0,ambiguo,0,0.191523551878624,1915235.51878624,14.465351159346,0.10253968752903,1383.92034409002
Porophyllum-ruderale,Porophyllum_ruderale,Asteroideae,Tageteae,9.08,0.765,5.811,Setose,26,9.762,viento,299.383236702162,2.08674126639119,0.006970133961676,-4.96612083464177,0.129014239272384,0.0834873281503
Thymophylla-sp,Thymophylla_sp,Asteroideae,Tageteae,2.149,0.242,0.421,Paleaceous,16,2.35,viento,17.3494454294496,0.049422764365278,0.002848665352526,-5.86090469174637,-1.05389182858144,0.053372889677493
Guizotia-abissynica,Guizotia_abissynica,Asteroideae,Heliantheae,4.465,1.851,6.361,Epappose,0,0,ambiguo,0,6.00750562934409,60075056.2934409,17.9111052766391,-0.111242026633223,7750.81004111447
Helenium-autumnale,Helenium_autumnale,Asteroideae,Helenieae,1.714,0.674,0.991,Aristate,6,1.124,ambiguo,3.96901276032166,0.305766918416737,0.077038530530727,-2.56344958578209,-0.859569969716163,0.277558157024301
Lowryanthus-rubens,Lowryanthus_rubens,Cichorioideae,Athroismeae,4.816,1.609,5.404,Epappose,0,0,ambiguo,0,4.89619213743215,48961921.3743216,17.7065534391549,-0.098551207450003,6997.27956954141
Pallenis-maritima,Pallenis_maritimus,Asteroideae,Inuleae,1.339,0.594,0.646,Coroniform,9,0.711,ambiguo,1.58814105983537,0.185529661701746,0.11682189618521,-2.14710475881869,-3.6417438370807,0.341792182744442
Pallenis-spinosa,Pallenis_spinosa,Asteroideae,Inuleae,1.896,0.635,0.939,Coroniform,6,0.516,ambiguo,0.836467893574204,0.300224181365267,0.358918911030197,-1.02465879057506,6.73823084120247,0.59909841514579
Inula-helenium,Inula_helenium,Asteroideae,Inuleae,4.618,0.944,3.766,Setose,19,7.057,viento,156.455237997996,1.61606119799554,0.010329223985351,-4.57277812109735,0.094995781349324,0.101632789912264
Tessaria-sp,Tessaria_sp,Asteroideae,Inuleae,0.437,0.219,0.076,Setose,17,3.434,viento,37.0467789781155,0.008230563167263,0.000222166767856,-8.41208225154751,-1.32880946126081,0.014905259737961
Corymbium-glabrum,Corymbium_glabrum,Corymbioideae,Corymbieae,7.49,1.339,8.561,Setose,50,2.09,viento,13.7227908701456,5.2735474426351,0.384291173283037,-0.956354749973223,0.634847819020594,0.619912230306062
Lactuca-florida,Lactuca_floridana,Cichorioideae,Cichorieae,4.781,1.607,5.631,Setose,60,5.445,viento,93.1420175334465,4.84853330233634,0.052055274574547,-2.9554491523686,0.348176573905789,0.228156250351698
Lactuca-hirsuta,Lactuca_hirsuta,Cichorioideae,Cichorieae,4.28,1.459,4.277,Setose,100,11.393,viento,407.780137011057,3.57778499641835,0.008773808900466,-4.73598425668202,0.212078114520113,0.093668612141241
Lactuca-graminifolia,Lactuca_graminifolia,Cichorioideae,Cichorieae,4.82,1.02,2.903,Setose,100,6.301,viento,124.729399630007,1.96927908056888,0.015788411431721,-4.14847906174654,0.140415860643199,0.125651945594649
Lactuca-viminea,Lactuca_viminea,Cichorioideae,Cichorieae,5.386,1.373,5.244,Setose,100,7.661,viento,184.382966246019,3.98719346881105,0.021624521764817,-3.83392734133048,0.265110912997341,0.147052785641134
Lactuca-pulchella,Lactuca_pulchella,Cichorioideae,Cichorieae,2.858,0.735,1.72,Setose,35,5.964,viento,111.744239006961,0.606312871911761,0.005425898254418,-5.21657181641065,-0.106093420664627,0.07366069680921
Lactuca-plumieri,Lactuca_plumieri,Cichorioideae,Cichorieae,6.313,1.422,5.545,Setose,42,7.544,viento,178.794120039172,5.01296725537033,0.028037651637919,-3.57420697075386,0.310828185271999,0.167444473297624
Lactuca-plumieri.1,Lactuca_plumieri,Cichorioideae,Cichorieae,6.313,1.422,5.545,Setose,42,7.544,viento,178.794120039172,5.01296725537033,0.028037651637919,-3.57420697075386,0.310828185271999,0.167444473297624
Nabalus-sagittatus,Nabalus_sagittatus,Cichorioideae,Cichorieae,5.213,0.803,3.785,Setose,40,6.892,viento,149.224595470384,1.3200144980178,0.008845823927164,-4.72780980396611,0.055468055797517,0.094052240415439
Nabalus-albus,Nabalus_albus,Cichorioideae,Cichorieae,5.206,1.05,4.393,Setose,46,6.967,viento,152.490045414341,2.25394153980422,0.014780909351832,-4.21441883952034,0.161659921074911,0.121576763206758
